lr,nheads,num_layers,d_model,hidden_size,epoch,train_loss,test_acc
0.0001, 1, 1,200,200,0.00, 0,34.9712,0.7740
0.0001, 1, 1,200,200,0.00, 1,34.6191,0.7980
0.0001, 1, 1,200,200,0.00, 2,34.4550,0.7696
0.0001, 1, 1,200,200,0.00, 3,34.1938,0.7744
0.0001, 1, 1,200,200,0.00, 4,33.8988,0.7760
0.0001, 1, 1,200,200,0.00, 5,33.7845,0.7892
0.0001, 1, 1,200,200,0.00, 6,33.4355,0.8012
0.0001, 1, 1,200,200,0.00, 7,32.9483,0.7760
0.0001, 1, 1,200,200,0.00, 8,32.6826,0.7692
0.0001, 1, 1,200,200,0.00, 9,32.4238,0.7648
0.0001, 1, 1,200,400,0.00, 0,35.0618,0.7624
0.0001, 1, 1,200,400,0.00, 1,34.4187,0.7792
0.0001, 1, 1,200,400,0.00, 2,34.2239,0.7896
0.0001, 1, 1,200,400,0.00, 3,33.6683,0.7752
0.0001, 1, 1,200,400,0.00, 4,33.6244,0.7764
0.0001, 1, 1,200,400,0.00, 5,33.1989,0.7792
0.0001, 1, 1,200,400,0.00, 6,33.3570,0.7640
0.0001, 1, 1,200,400,0.00, 7,33.3369,0.7568
0.0001, 1, 1,200,400,0.00, 8,32.5470,0.7676
0.0001, 1, 1,200,400,0.00, 9,32.3170,0.7596
0.0001, 1, 1,400,200,0.00, 0,35.3032,0.7840
0.0001, 1, 1,400,200,0.00, 1,34.7668,0.8064
0.0001, 1, 1,400,200,0.00, 2,34.3800,0.7964
0.0001, 1, 1,400,200,0.00, 3,34.2145,0.7608
0.0001, 1, 1,400,200,0.00, 4,34.0518,0.7620
0.0001, 1, 1,400,200,0.00, 5,33.7312,0.7772
0.0001, 1, 1,400,200,0.00, 6,33.4817,0.7536
0.0001, 1, 1,400,200,0.00, 7,33.3178,0.7912
0.0001, 1, 1,400,200,0.00, 8,33.3011,0.7556
0.0001, 1, 1,400,200,0.00, 9,32.9416,0.7268
0.0001, 1, 1,400,400,0.00, 0,35.4169,0.7572
0.0001, 1, 1,400,400,0.00, 1,34.7434,0.7968
0.0001, 1, 1,400,400,0.00, 2,34.0360,0.7564
0.0001, 1, 1,400,400,0.00, 3,33.8139,0.7732
0.0001, 1, 1,400,400,0.00, 4,33.8968,0.7592
0.0001, 1, 1,400,400,0.00, 5,33.6521,0.7500
0.0001, 1, 1,400,400,0.00, 6,33.2634,0.7532
0.0001, 1, 1,400,400,0.00, 7,32.9435,0.7396
0.0001, 1, 1,400,400,0.00, 8,32.8481,0.7240
0.0001, 1, 1,400,400,0.00, 9,32.7948,0.7492
0.0001, 1, 4,200,200,0.00, 0,39.2100,0.7528
0.0001, 1, 4,200,200,0.00, 1,34.9383,0.7580
0.0001, 1, 4,200,200,0.00, 2,34.7998,0.7932
0.0001, 1, 4,200,200,0.00, 3,34.5175,0.7848
0.0001, 1, 4,200,200,0.00, 4,34.1186,0.8012
0.0001, 1, 4,200,200,0.00, 5,33.5033,0.8020
0.0001, 1, 4,200,200,0.00, 6,32.5195,0.8112
0.0001, 1, 4,200,200,0.00, 7,31.2709,0.8176
0.0001, 1, 4,200,200,0.00, 8,30.7466,0.7964
0.0001, 1, 4,200,200,0.00, 9,29.0348,0.8060
