lr,nheads,num_layers,d_model,hidden_size,epoch,train_loss,test_acc
0.0001, 1, 1,200,200,0.00, 0,35.1893,0.7576
0.0001, 1, 1,200,200,0.00, 1,34.8385,0.7688
0.0001, 1, 1,200,200,0.00, 2,34.6949,0.7608
0.0001, 1, 1,200,200,0.00, 3,34.7590,0.7676
0.0001, 1, 1,200,200,0.00, 4,34.4948,0.7740
0.0001, 1, 1,200,200,0.00, 5,34.5276,0.7576
0.0001, 1, 1,200,200,0.00, 6,34.4656,0.7476
0.0001, 1, 1,200,200,0.00, 7,34.4075,0.7596
0.0001, 1, 1,200,200,0.00, 8,34.4018,0.7576
0.0001, 1, 1,200,200,0.00, 9,34.3444,0.7748
0.0001, 1, 1,200,400,0.00, 0,34.9537,0.7780
0.0001, 1, 1,200,400,0.00, 1,34.3793,0.7848
0.0001, 1, 1,200,400,0.00, 2,34.0862,0.7968
0.0001, 1, 1,200,400,0.00, 3,33.5830,0.7956
0.0001, 1, 1,200,400,0.00, 4,33.3961,0.7948
0.0001, 1, 1,200,400,0.00, 5,32.9844,0.8036
0.0001, 1, 1,200,400,0.00, 6,32.7287,0.7804
0.0001, 1, 1,200,400,0.00, 7,32.3325,0.7808
0.0001, 1, 1,200,400,0.00, 8,32.1312,0.7964
0.0001, 1, 1,200,400,0.00, 9,32.0017,0.7816
0.0001, 1, 1,400,200,0.00, 0,35.4452,0.7644
0.0001, 1, 1,400,200,0.00, 1,34.6751,0.7752
0.0001, 1, 1,400,200,0.00, 2,34.4339,0.7428
0.0001, 1, 1,400,200,0.00, 3,34.0248,0.7804
0.0001, 1, 1,400,200,0.00, 4,33.8346,0.7812
0.0001, 1, 1,400,200,0.00, 5,33.9418,0.7624
0.0001, 1, 1,400,200,0.00, 6,33.6082,0.7652
0.0001, 1, 1,400,200,0.00, 7,33.5158,0.7512
0.0001, 1, 1,400,200,0.00, 8,33.4360,0.7392
0.0001, 1, 1,400,200,0.00, 9,33.5319,0.7520
0.0001, 1, 1,400,400,0.00, 0,35.6947,0.7540
0.0001, 1, 1,400,400,0.00, 1,35.0151,0.7544
0.0001, 1, 1,400,400,0.00, 2,34.8175,0.7416
0.0001, 1, 1,400,400,0.00, 3,34.8332,0.7412
0.0001, 1, 1,400,400,0.00, 4,34.8291,0.7408
0.0001, 1, 1,400,400,0.00, 5,34.7570,0.7528
0.0001, 1, 1,400,400,0.00, 6,34.8301,0.7368
0.0001, 1, 1,400,400,0.00, 7,34.7999,0.7600
0.0001, 1, 1,400,400,0.00, 8,34.6860,0.7480
0.0001, 1, 1,400,400,0.00, 9,34.6960,0.7532
0.0001, 1, 4,200,200,0.00, 0,35.6904,0.7880
0.0001, 1, 4,200,200,0.00, 1,34.3454,0.8460
0.0001, 1, 4,200,200,0.00, 2,33.7525,0.8468
0.0001, 1, 4,200,200,0.00, 3,33.1106,0.8408
0.0001, 1, 4,200,200,0.00, 4,31.9855,0.8196
0.0001, 1, 4,200,200,0.00, 5,31.1684,0.8380
0.0001, 1, 4,200,200,0.00, 6,30.0083,0.8024
0.0001, 1, 4,200,200,0.00, 7,29.7086,0.7956
0.0001, 1, 4,200,200,0.00, 8,28.9079,0.7912
0.0001, 1, 4,200,200,0.00, 9,27.7884,0.7804
