lr,nheads,num_layers,d_model,hidden_size,epoch,train_loss,test_acc
0.0001, 1, 1,200,200,0.00, 0,34.9890,0.7532
0.0001, 1, 1,200,200,0.00, 1,34.7126,0.7608
0.0001, 1, 1,200,200,0.00, 2,34.5754,0.7988
0.0001, 1, 1,200,200,0.00, 3,34.4927,0.7660
0.0001, 1, 1,200,200,0.00, 4,34.1442,0.7904
0.0001, 1, 1,200,200,0.00, 5,33.9377,0.7772
0.0001, 1, 1,200,200,0.00, 6,33.7565,0.7888
0.0001, 1, 1,200,200,0.00, 7,33.5564,0.8008
0.0001, 1, 1,200,200,0.00, 8,33.4900,0.7668
0.0001, 1, 1,200,200,0.00, 9,33.2147,0.8012
0.0001, 1, 1,200,400,0.00, 0,34.9001,0.7744
0.0001, 1, 1,200,400,0.00, 1,34.7633,0.7520
0.0001, 1, 1,200,400,0.00, 2,34.3831,0.7864
0.0001, 1, 1,200,400,0.00, 3,33.9314,0.7840
0.0001, 1, 1,200,400,0.00, 4,33.9335,0.7968
0.0001, 1, 1,200,400,0.00, 5,33.6190,0.7864
0.0001, 1, 1,200,400,0.00, 6,33.4209,0.7700
0.0001, 1, 1,200,400,0.00, 7,33.0483,0.7676
0.0001, 1, 1,200,400,0.00, 8,33.1172,0.7632
0.0001, 1, 1,200,400,0.00, 9,32.6472,0.7760
0.0001, 1, 1,400,200,0.00, 0,35.3170,0.7936
0.0001, 1, 1,400,200,0.00, 1,34.6030,0.7584
0.0001, 1, 1,400,200,0.00, 2,34.2112,0.7716
0.0001, 1, 1,400,200,0.00, 3,33.6353,0.7816
0.0001, 1, 1,400,200,0.00, 4,33.3781,0.7512
0.0001, 1, 1,400,200,0.00, 5,33.1199,0.7480
0.0001, 1, 1,400,200,0.00, 6,32.8777,0.7612
0.0001, 1, 1,400,200,0.00, 7,32.6170,0.7568
0.0001, 1, 1,400,200,0.00, 8,32.3903,0.7528
0.0001, 1, 1,400,200,0.00, 9,31.9150,0.7348
0.0001, 1, 1,400,400,0.00, 0,35.5143,0.7500
0.0001, 1, 1,400,400,0.00, 1,34.8469,0.7524
0.0001, 1, 1,400,400,0.00, 2,34.3580,0.7892
0.0001, 1, 1,400,400,0.00, 3,34.3800,0.7564
0.0001, 1, 1,400,400,0.00, 4,34.2193,0.7740
0.0001, 1, 1,400,400,0.00, 5,33.6300,0.7472
0.0001, 1, 1,400,400,0.00, 6,33.5530,0.7576
0.0001, 1, 1,400,400,0.00, 7,33.3500,0.7536
0.0001, 1, 1,400,400,0.00, 8,33.3562,0.7740
0.0001, 1, 1,400,400,0.00, 9,33.2012,0.7704
0.0001, 1, 4,200,200,0.00, 0,39.2214,0.7476
0.0001, 1, 4,200,200,0.00, 1,34.8174,0.7488
0.0001, 1, 4,200,200,0.00, 2,34.8258,0.7468
0.0001, 1, 4,200,200,0.00, 3,34.9421,0.7488
0.0001, 1, 4,200,200,0.00, 4,34.7189,0.7624
0.0001, 1, 4,200,200,0.00, 5,34.7658,0.7528
0.0001, 1, 4,200,200,0.00, 6,34.7846,0.7472
0.0001, 1, 4,200,200,0.00, 7,34.8308,0.7528
0.0001, 1, 4,200,200,0.00, 8,34.7016,0.7868
0.0001, 1, 4,200,200,0.00, 9,34.2323,0.8072
