lr,nheads,num_layers,d_model,hidden_size,epoch,train_loss,test_acc
0.0001, 1, 1,200,200,0.00, 0,34.9826,0.7928
0.0001, 1, 1,200,200,0.00, 1,34.0110,0.8356
0.0001, 1, 1,200,200,0.00, 2,33.4862,0.8320
0.0001, 1, 1,200,200,0.00, 3,33.5000,0.8140
0.0001, 1, 1,200,200,0.00, 4,33.1205,0.7900
0.0001, 1, 1,200,200,0.00, 5,32.8192,0.8072
0.0001, 1, 1,200,200,0.00, 6,32.6038,0.8084
0.0001, 1, 1,200,200,0.00, 7,32.3882,0.8104
0.0001, 1, 1,200,200,0.00, 8,32.2240,0.8216
0.0001, 1, 1,200,200,0.00, 9,32.0468,0.7900
0.0001, 1, 1,200,400,0.00, 0,35.0458,0.7680
0.0001, 1, 1,200,400,0.00, 1,34.4408,0.7736
0.0001, 1, 1,200,400,0.00, 2,34.3471,0.7620
0.0001, 1, 1,200,400,0.00, 3,34.1749,0.7400
0.0001, 1, 1,200,400,0.00, 4,33.8621,0.7668
0.0001, 1, 1,200,400,0.00, 5,33.5702,0.7640
0.0001, 1, 1,200,400,0.00, 6,33.4691,0.7600
0.0001, 1, 1,200,400,0.00, 7,33.1970,0.7696
0.0001, 1, 1,200,400,0.00, 8,32.6951,0.7628
0.0001, 1, 1,200,400,0.00, 9,32.7774,0.7404
0.0001, 1, 1,400,200,0.00, 0,35.2642,0.7756
0.0001, 1, 1,400,200,0.00, 1,34.5798,0.7996
0.0001, 1, 1,400,200,0.00, 2,34.4324,0.7508
0.0001, 1, 1,400,200,0.00, 3,33.9030,0.7608
0.0001, 1, 1,400,200,0.00, 4,33.8506,0.7944
0.0001, 1, 1,400,200,0.00, 5,33.5556,0.7408
0.0001, 1, 1,400,200,0.00, 6,33.5255,0.7856
0.0001, 1, 1,400,200,0.00, 7,33.5060,0.7352
0.0001, 1, 1,400,200,0.00, 8,33.3259,0.7648
0.0001, 1, 1,400,200,0.00, 9,32.7532,0.7336
0.0001, 1, 1,400,400,0.00, 0,35.7880,0.7768
0.0001, 1, 1,400,400,0.00, 1,34.8332,0.7728
0.0001, 1, 1,400,400,0.00, 2,34.3439,0.7680
0.0001, 1, 1,400,400,0.00, 3,34.2329,0.7644
0.0001, 1, 1,400,400,0.00, 4,33.9300,0.7460
0.0001, 1, 1,400,400,0.00, 5,34.0715,0.7680
0.0001, 1, 1,400,400,0.00, 6,33.5354,0.7404
0.0001, 1, 1,400,400,0.00, 7,33.5048,0.7432
0.0001, 1, 1,400,400,0.00, 8,33.3477,0.7320
0.0001, 1, 1,400,400,0.00, 9,32.9851,0.7348
0.0001, 1, 4,200,200,0.00, 0,37.4347,0.7488
0.0001, 1, 4,200,200,0.00, 1,35.0117,0.7532
0.0001, 1, 4,200,200,0.00, 2,34.4305,0.8156
0.0001, 1, 4,200,200,0.00, 3,33.8623,0.8188
0.0001, 1, 4,200,200,0.00, 4,32.7423,0.8004
0.0001, 1, 4,200,200,0.00, 5,31.3782,0.8004
0.0001, 1, 4,200,200,0.00, 6,30.4865,0.7972
0.0001, 1, 4,200,200,0.00, 7,28.7027,0.7888
0.0001, 1, 4,200,200,0.00, 8,28.2107,0.7708
0.0001, 1, 4,200,200,0.00, 9,26.9835,0.7592
