context	question	pred_answer	label	pred_verify
The Norman dynasty had a major political, cultural and military impact on medieval Europe and even the Near East	What type of major impact did the Norman dynasty have on modern Europe?	political, cultural and military	1	0
The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France	Who gave their name to Normandy in the 1000's and 1100's	The Normans	1	0
 The force, therefore, is related directly to the difference in potential energy between two different locations in space, and can be considered to be an artifact of the potential field in the same way that the direction and amount of a flow of water can be considered to be an artifact of the contour map of the elevation of an area	A flow of water can not be considered an artifact of what?	contour map of the elevation of an area	1	0
 The Normans were famed for their martial spirit and eventually for their Christian piety, becoming exponents of the Catholic orthodoxy into which they assimilated	Who assimilted the Roman language?	Normans	1	0
 Many Normans of Italy, France and England eventually served as avid Crusaders under the Italo-Norman prince Bohemund I and the Anglo-Norman king Richard the Lion-Heart	Who's arristocracy eventually served as avid Crusaders?	Richard the Lion-Heart	1	0
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	What treaty was established in the 9th century?	treaty of Saint-Clair-sur-Epte	1	0
 They were descended from Norse ("Norman" comes from "Norseman") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia	From which countries did the Norse originate?	Denmark, Iceland and Norway	1	0
The English name "Normans" comes from the French words Normans/Normanz, plural of Normant, modern French normand, which is itself borrowed from Old Low Franconian Nortmann "Northman" or directly from Old Norse NorÃ°maÃ°r, Latinized variously as Nortmannus, Normannus, or Nordmannus (recorded in Medieval Latin, 9th century) to mean "Norseman, Viking"	What name comes from the English words Normans/Normanz?	Normans	1	0
 Norman adventurers founded the Kingdom of Sicily under Roger II after conquering southern Italy on the Saracens and Byzantines, and an expedition on behalf of their duke, William the Conqueror, led to the Norman conquest of England at the Battle of Hastings in 1066	What principality did William the conquerer found?	Norman conquest of England	1	0
Before Rollo's arrival, its populations did not differ from Picardy or the ÃŽle-de-France, which were considered "Frankish"	Who upon arriving gave the original viking settlers a common identity?	Rollo	1	1
The Norman dynasty had a major political, cultural and military impact on medieval Europe and even the Near East	What type of major impact did the Norman dynasty have on modern Europe?	political, cultural and military	1	0
